product_name,brand,price,seller_location,product_link,category,scraped_at
Statuario Vizon Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/statuario-vizon-floor-tiles-2854344896762.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Swizer White Floor Tile, Size: 2X4 Feet(600X1200 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/swizer-white-floor-tile-2854344978673.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Floor Tiles, Size: 2X2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-2856953651312.html?pos=1&nh=Y,Tiles,2025-08-05T17:15:34.985433
"Ceramic Alliance Cfs-Cfd 3030114 Floor Tiles, Size: 300 X 300 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/alliance-cfs-cfd-3030114-floor-tiles-2856790029362.html?pos=2&nh=Y,Tiles,2025-08-05T17:15:34.985433
Ceramic Matte Finish Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/matte-finish-tiles-2853441972262.html?pos=1,Tiles,2025-08-05T17:15:34.985433
"Packing 400 X 400Mm Ceramic Parking Tiles, Size: 16X16",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/400-x-400mm-ceramic-parking-tiles-23402724773.html?pos=2,Tiles,2025-08-05T17:15:34.985433
"Vitrified Floor Tiles, Size: 2X2 Feet(600X600 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-tiles-2853952729488.html?pos=3,Tiles,2025-08-05T17:15:34.985433
Tizo Tiles Llp,Unknown,N/A,Unknown,https://www.indiamart.com/tizo-tiles-llp/?pos=3,Tiles,2025-08-05T17:15:34.985433
"Glossy Light Ceramic Tile, Size: 2X4 Feet(600X1200 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/alfredo-light-ceramic-tile-25995168388.html?pos=4,Tiles,2025-08-05T17:15:34.985433
"Floor Carving Tiles, 600X1200 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/golden-yellow-floor-tiles-2854976109691.html,Tiles,2025-08-05T17:15:34.985433
Golden Designer Vitrified Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/golden-designer-vitrified-tiles-2854976106230.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Aspire 3D Galicha Floor Tiles, Size: 2X2 Feet(600X600 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/aspire-3d-galicha-floor-tiles-2853992123412.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Somany Bathroom Floor Tiles, Size: 2X4 Feet(600X1200 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/somany-bathroom-floor-tiles-2854976117473.html,Tiles,2025-08-05T17:15:34.985433
Vitrified Tiles Manufacturer,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/vitrified-tiles-manufacturer-2853469655791.html,Tiles,2025-08-05T17:15:34.985433
Book Match Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/book-match-floor-tiles-2853643851348.html,Tiles,2025-08-05T17:15:34.985433
"High Glossy Digital Glazed Vitrified Tile, Size: 600X1200 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/digital-glazed-vitrified-tile-2853469436191.html,Tiles,2025-08-05T17:15:34.985433
Floor Carving Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/floor-carving-tiles-2853647459155.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Hotel Floor Tiles, Size: 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/hotel-floor-tiles-2856962607955.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Designer Floor Tile, Size: 1X1 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/ceramic-designer-floor-tile-2854251786088.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Modern Floor Tiles, Size: 1X1 Feet(300X300 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/modern-design-floor-tile-2854363526430.html,Tiles,2025-08-05T17:15:34.985433
"Ceramic Kajaria Designer Tiles, Size: 1X1 Feet(300X300 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/designer-floor-wall-tiles-2854594613748.html,Tiles,2025-08-05T17:15:34.985433
"Double Charge Vitrified Floor Tile, 2X2 Feet(60X60 Cm), 10-15 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/double-charge-vitrified-floor-tile-19042115655.html,Tiles,2025-08-05T17:15:34.985433
"Nano Floor Tile, 8 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/nano-floor-tile-19042594048.html,Tiles,2025-08-05T17:15:34.985433
"Glossy Vitrified 1200X1800 Mm Tiles, Size: 6X4 Feet(1800X1200 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/1200x1800-mm-tiles-2852113377248.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Floor Tile, Size: 1200 X 600 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/vitrified-floor-tile-19042522530.html,Tiles,2025-08-05T17:15:34.985433
Vitrified 2X4 Matt Finish Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/2x4-matt-finish-tiles-2854166153133.html,Tiles,2025-08-05T17:15:34.985433
"Porcelain 600 X 600 Mm Floor Tiles, Size: 2X2 Feet(600X600 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/600-x-600-mm-floor-tiles-2854165664688.html,Tiles,2025-08-05T17:15:34.985433
Ceramic Living Room Wall Tiles And Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/living-room-wall-tiles-and-floor-tiles-2854163011533.html,Tiles,2025-08-05T17:15:34.985433
"Digital Printing Matte Texture Floor Tiles, Size/Dimension: 400X400 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/texture-floor-tiles-26049879173.html,Tiles,2025-08-05T17:15:34.985433
"Glossy Light Ceramic Tile, Size: 2X4 Feet(600X1200 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/alfredo-light-ceramic-tile-25995168388.html,Tiles,2025-08-05T17:15:34.985433
Carved Carving Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/carving-floor-tiles-26052243948.html,Tiles,2025-08-05T17:15:34.985433
"Glossy Ivory Ceramic Tile, 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/glossy-ivory-ceramic-tile-25996412433.html,Tiles,2025-08-05T17:15:34.985433
"Glossy Granite Floor Tile, 600X600 Mm",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/granite-floor-tile-2854467636730.html,Tiles,2025-08-05T17:15:34.985433
"Smooth Vitrified Moroccan Porcelain Tiles, 2X2 Feet(600X600 Mm)",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/moroccan-porcelain-tiles-2854467694697.html,Tiles,2025-08-05T17:15:34.985433
"Anti Slip Porcelain Tile, Thickness: 20 Mm, 2X2 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/anti-slip-porcelain-tile-2854467507073.html,Tiles,2025-08-05T17:15:34.985433
"Vitrified Living Room Floor Tiles, 2X4 Feet",Unknown,N/A,Unknown,https://www.indiamart.com/proddetail/living-room-floor-tiles-2854581803355.html,Tiles,2025-08-05T17:15:34.985433
Glossy Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/glossy-tiles.html,Tiles,2025-08-05T17:15:34.985433
Porcelain Floor Tile,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/porcelain-floor-tile.html,Tiles,2025-08-05T17:15:34.985433
Living Room Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/living-room-floor-tile.html,Tiles,2025-08-05T17:15:34.985433
Plain Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/plain-tiles.html,Tiles,2025-08-05T17:15:34.985433
Tile Flooring Services,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/tile-flooring-services.html,Tiles,2025-08-05T17:15:34.985433
Kajaria Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/kajaria-floor-tiles.html,Tiles,2025-08-05T17:15:34.985433
Kajaria Vitrified Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/kajaria-vitrified-tiles.html,Tiles,2025-08-05T17:15:34.985433
Somany Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/somani-floor-tiles.html,Tiles,2025-08-05T17:15:34.985433
Johnson Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/johnson-floor-tiles.html,Tiles,2025-08-05T17:15:34.985433
Orientbell Floor Tiles,Unknown,N/A,Unknown,https://www.indiamart.com/impcat/orient-floor-tiles.html,Tiles,2025-08-05T17:15:34.985433
